"ch" "sex" "mch1990" "mch1991" "mch1992" "mch1993" "mch1994" "mch1995" "mch1996" "mch1997" "mch1998" "mch1999" "mch2000" "mch2001" "mch2002" "mch2003" "mch2004" "mch2005" "mch2006" "mch2007" "mch2008" "mch2009" "mch2010" "mch2011" "mch2012" "mch2013" "mch2014" "expm1990" "expm1991" "expm1992" "expm1993" "expm1994" "expm1995" "expm1996" "expm1997" "expm1998" "expm1999" "expm2000" "expm2001" "expm2002" "expm2003" "expm2004" "expm2005" "expm2006" "expm2007" "expm2008" "expm2009" "expm2010" "expm2011" "expm2012" "expm2013" "expm2014" "age1990" "age1991" "age1992" "age1993" "age1994" "age1995" "age1996" "age1997" "age1998" "age1999" "age2000" "age2001" "age2002" "age2003" "age2004" "age2005" "age2006" "age2007" "age2008" "age2009" "age2010" "age2011" "age2012" "age2013" "age2014"
"1" "0000000000000000000000000000001000021002001000001000000010000000000000000000001010001000100200000000" "F" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 -1.08229426433915 0 -0.58354114713217 -0.334164588528678 0 0.164588528678304 0 0.663341645885287 0 0 0 0 1.91022443890274 2.15960099750623 2.40897755610973 2.65835411471322 0 0
"2" "0000000000000000000010001000000200020012000200000000000000000000000000000000001000000002000200000000" "F" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1.33167082294264 -1.08229426433915 0 0 -0.334164588528678 0 0 0 0 0 0 0 0 0 2.15960099750623 0 0 0 0 0
"3" "0000000000000000000000000000000000001010101000000000100000000000000000100000000000000000000000000000" "F" 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1.08229426433915 -0.832917705735661 0 0 -0.084788029925187 0 0 0 0.912718204488778 0 0 0 0 0 0 0
"4" "0000000000000000000000000000000000000000000000000000000000000000000000000000000010001010000000000000" "M" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1.08229426433915 -0.832917705735661 0 0 0
"5" "0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000" "F" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.334164588528678 0
"6" "0000000000000000000000000000000000000000101000000000000000000000000000000000000000000000000000000000" "F" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1.33167082294264 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"7" "0000000000000000000000000010000000001010001000001000000000000000000000000000101000000000000000000000" "F" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1.08229426433915 0 0 -0.334164588528678 -0.084788029925187 0 0.413965087281796 0 0 0 0 0 0 2.15960099750623 0 0 0 0 0
"8" "0000000000000000000000000000000000001010100200000000000000000000000000000000000000000000000000000000" "F" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1.08229426433915 -0.832917705735661 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"9" "0000000000000000000000000000000000000000101000000000100010101010100010100000101010100000000000000000" "F" 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 -1 0 -1 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1.08229426433915 0 0 -0.334164588528678 -0.084788029925187 0.164588528678304 0.413965087281796 0.663341645885287 0 1.16209476309227 1.41147132169576 0 0 0 0
"10" "0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000" "M" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.084788029925187
